artist,country,releaseyear
Spiderbait,Australia,1996
Tool,USA,1996
Ben Folds Five,USA,1996
Butthole Surfers,USA,1996
Bush,UK,1996
Powderfinger,Australia,1996
The Prodigy,UK,1996
Allen Ginsberg,USA,1996
Weezer,USA,1996
311,USA,1996
Underworld,UK,1996
The Smashing Pumpkins,USA,1996
Regurgitator,Australia,1996
Babylon Zoo,UK,1996
The Fauves,Australia,1996
Foo Fighters,USA,1996
Ash,Ireland,1996
Everclear,USA,1996
No Doubt,USA,1996
Chemical Brothers,UK,1996
Cake,USA,1996
Skin,UK,1996
2Pac,USA,1996
Tracy Bonham,USA,1996
Fugees,USA,1996
Primitive Radio Gods,USA,1996
Jamiroquai,UK,1996
The Eels,USA,1996
Tricky/Garbage,UK,1996
Geggy Tah,USA,1996
Fini Scad,Australia,1996
The Cranberries,Ireland,1996
Nirvana,USA,1996
Rage Against the Machine,USA,1996
Pearl Jam,USA,1996
Nada Surf,USA,1996
Definition of Sound,UK,1996
The Presidents of the USA,USA,1996
Garbage,USA,1996
Metallica,USA,1996
Bjork,Iceland,1996
Tumbleweed,Australia,1996
Kula Shaker,UK,1996
Bad Religion,USA,1996
Angelique Kidjo,Benin,1996
Goldfinger,USA,1996
Crowded House,Australia,1996
Mullen/Clayton,Ireland,1996
Insurge,Australia,1996
Pulp,UK,1996
Frenzal Rhomb,Australia,1996
Hole,USA,1996
Ministry,USA,1996
Spacehog,UK,1996
Soundgarden,USA,1996
OMC,New Zealand,1996
The Whitlams,Australia,1996
You Am I,Australia,1996
The Superjesus,Australia,1996
Luscious Jackson,USA,1996
Hoodoo Gurus,Australia,1996
Ash,UK,1996
Neneh Cherry,Sweden,1996
R.E.M.,USA,1996
Hunting Party,Australia,1996
Snout,Australia,1996
Barry Adamson,UK,1996
Skunk Anansie,UK,1996
Frank Bennett,Australia,1996
AC/DC,Australia,1996
Tori Amos,USA,1996
Republica,UK,1996
Ben Harper,USA,1996
Nirvana,USA,1991
Joy Division,UK,1979
Hunters & Collectors,Australia,1985
Andy Prieboy,USA,1990
The Smiths,UK,1984
The Stone Roses,UK,1989
The Cure,UK,1980
Violent Femmes,USA,1982
New Order,UK,1983
The Cure,UK,1987
The The,UK,1983
Nick Cave & The Bad Seeds,Australia,1990
The Cult,UK,1985
Kate Bush,UK,1978
Falling Joys,Australia,1990
Violent Femmes,USA,1983
Billy Bragg,UK,1991
New Order,UK,1986
Sex Pistols,UK,1976
Dead Kennedys,USA,1980
Pixies,USA,1989
The Smiths,UK,1983
Led Zeppelin,UK,1971
The Church,Australia,1988
R.E.M.,USA,1991
Clouds,Australia,1991
Died Pretty,Australia,1991
The Cure,UK,1981
The Smiths,UK,1986
The Cure,UK,1985
Boys Next Door,Australia,1978
Red Hot Chili Peppers,USA,1991
R.E.M.,USA,1987
The Cure,UK,1989
Hunters & Collectors,Australia,1982
They Might Be Giants,USA,1990
Radio Birdman,Australia,1978
Queen,UK,1975
This Mortal Coil,UK,1983
Tall Tales and True,Australia,1989
The Triffids,Australia,1986
Hunters & Collectors,Australia,1984
Soft Cell,UK,1981
New Order,UK,1987
Sonic Youth,USA,1990
Billy Bragg,UK,1988
Pink Floyd,UK,1975
The Doors,USA,1967
Metallica,USA,1991
The Jimi Hendrix Experience,USA,1968
R.E.M.,USA,1988
Massive Attack,UK,1991
R.E.M.,USA,1986
Straitjacket Fits,New Zealand,1990
Frente!,Australia,1991
The Church,Australia,1981
Pink Floyd,UK,1979
The Cure,UK,1983
Billy Bragg,UK,1986
The Doors,USA,1971
Dinosaur Jr,USA,1988
Def FX,Australia,1990
Ride,UK,1991
Yothu Yindi,Australia,1991
The Only Ones,UK,1978
The Wonder Stuff,UK,1991
The Rolling Stones,UK,1968
Nick Cave & The Bad Seeds,Australia,1988
Metallica,USA,1989
My Bloody Valentine,Ireland,1991
Public Enemy,USA,1987
XTC,UK,1986
Jesus Jones,UK,1989
The Go-Betweens,Australia,1983
The Clash,UK,1979
U2,Ireland,1984
Prince,USA,1991
Queens of the Stone Age,USA,2002
Grinspoon,Australia,2002
The Waifs,Australia,2002
1200 Techniques,Australia,2002
The Vines,Australia,2002
Machine Gun Fellatio,Australia,2002
Eminem,USA,2002
Red Hot Chili Peppers,USA,2002
Silverchair,Australia,2002
Foo Fighters,USA,2002
System of a Down,USA,2002
Audioslave,USA,2002
Ben Lee,Australia,2002
Salmon Hater,Australia,2002
John Butler Trio,Australia,2002
Pearl Jam,USA,2002
Motor Ace,Australia,2002
Bodyjar,Australia,2002
George,Australia,2002
The Hives,Sweden,2002
Pacifier,New Zealand,2002
Waikiki,Australia,2002
The Drugs,Australia,2002
Coldplay,UK,2002
The Whitlams,Australia,2002
N.E.R.D,USA,2002
Jamiroquai,UK,2002
Wilcannia Mob,Australia,2002
The Living End,Australia,2002
Basement Jaxx,UK,2002
The Androids,Australia,2002
PJ Harvey and Gordon Gano,UK,2002
JXL vs Elvis Presley,Netherlands,2002
Moby,USA,2002
Something for Kate,Australia,2002
Gomez,UK,2002
Area-7,Australia,2002
Augie March,Australia,2002
Frenzal Rhomb,Australia,2002
Weezer,USA,2002
Ms. Dynamite,UK,2002
The Streets,UK,2002
Badly Drawn Boy,UK,2002
You Am I,Australia,2002
Ben Harper,USA,2002
28 Days,Australia,2002
Oasis,UK,2002
The Chemical Brothers,UK,2002
Groove Armada,UK,2002
Rocket Science,Australia,2002
Antiskeptic,Australia,2002
Tori Amos,USA,2002
Machine Translations,Australia,2002
U2,Ireland,2002
Cartman,Australia,2002
Mumford & Sons,UK,2009
Art vs Science,Australia,2009
Hilltop Hoods,Australia,2009
Phoenix,France,2009
Bluejuice,Australia,2009
La Roux,UK,2009
Lisa Mitchell,Australia,2009
Lily Allen,UK,2009
Muse,UK,2009
