year,alltime,alltimedescription,colorRGB,contrastColorRGB
2025,TRUE,Of Australian Songs,"224, 49, 37",NA
2024,FALSE,,"119, 38, 127",NA
2023,FALSE,,"221, 121, 62","0, 0, 0"
2023,TRUE,Like A Version,"46, 65, 79",NA
2022,FALSE,,"248, 215, 189","0, 0, 0"
2021,FALSE,,"0, 135, 0",NA
2020,FALSE,,"239, 43, 204","0, 0, 0"
2020,TRUE,Of The Decade,"16, 32, 92",NA
2019,FALSE,,"244, 171, 68","0, 0, 0"
2018,FALSE,,"181, 204, 62","0, 0, 0"
2017,FALSE,,"254, 149, 173","0, 0, 0"
2016,FALSE,,"231, 14, 68",NA
2015,FALSE,,"16, 157, 187","0, 0, 0"
2014,FALSE,,"238, 61, 89","0, 0, 0"
2013,FALSE,,"69, 47, 146",NA
2013,TRUE,Twenty Years,"69, 47, 146",NA
2012,FALSE,,"250, 163, 27","0, 0, 0"
2011,FALSE,,"82, 157, 163","0, 0, 0"
2011,TRUE,Australian Albums,"82, 157, 163","0, 0, 0"
2010,FALSE,,"221, 132, 180","0, 0, 0"
2009,FALSE,,"114, 165, 165","0, 0, 0"
2009,TRUE,All-time,"114, 165, 165","0, 0, 0"
2008,FALSE,,"159, 218, 232","0, 0, 0"
2007,FALSE,,"236, 187, 114","0, 0, 0"
2006,FALSE,,"96, 95, 132",NA
2005,FALSE,,"174, 184, 152","0, 0, 0"
2004,FALSE,,"219, 175, 199","0, 0, 0"
2003,FALSE,,"204, 196, 163","0, 0, 0"
2002,FALSE,,"120, 91, 80",NA
2001,FALSE,,"234, 137, 103","0, 0, 0"
2000,FALSE,,"183, 98, 94","0, 0, 0"
1999,FALSE,,"150, 196, 65","0, 0, 0"
1998,FALSE,,"227, 209, 83","0, 0, 0"
1998,TRUE,All-time,"227, 209, 83","0, 0, 0"
1997,FALSE,,"94, 134, 150","0, 0, 0"
1996,FALSE,,"136, 181, 159","0, 0, 0"
1995,FALSE,,"92, 73, 72",NA
1994,FALSE,,"224, 135, 124","0, 0, 0"
1993,FALSE,,"131, 168, 125","0, 0, 0"
1991,TRUE,All-time,"95, 110, 153",NA
1990,TRUE,All-time,"150, 166, 166","0, 0, 0"
1989,TRUE,All-time,"204, 166, 140","0, 0, 0"
