alltime,artist,country,id,pollyear,position,releaseyear,track
FALSE,Spiderbait,Australia,1,1996,1,1996,Buy Me a Pony
FALSE,Tool,USA,2,1996,2,1996,Stinkfist
FALSE,Ben Folds Five,USA,3,1996,3,1996,Underground
FALSE,Butthole Surfers,USA,4,1996,4,1996,Pepper
FALSE,Bush,UK,5,1996,5,1996,Glycerine
FALSE,Powderfinger,Australia,6,1996,6,1996,Pick You Up
FALSE,The Prodigy,UK,7,1996,7,1996,Breathe
FALSE,Allen Ginsberg,USA,8,1996,8,1996,Ballad of the Skeletons
FALSE,Weezer,USA,9,1996,9,1996,El Scorcho
FALSE,311,USA,10,1996,11,1996,Down
FALSE,Underworld,UK,11,1996,12,1996,Born Slippy
FALSE,The Smashing Pumpkins,USA,12,1996,13,1996,1979
FALSE,Regurgitator,Australia,13,1996,15,1996,Kong Foo Sing
FALSE,Babylon Zoo,UK,14,1996,16,1996,Spaceman
FALSE,The Prodigy,UK,15,1996,17,1996,Firestarter
FALSE,Powderfinger,Australia,16,1996,18,1996,D.A.F.
FALSE,Bush,UK,17,1996,19,1996,Swallowed
FALSE,The Fauves,Australia,18,1996,20,1996,Dogs Are the Best People
FALSE,Foo Fighters,USA,19,1996,21,1996,Down in the Park
FALSE,Ash,Ireland,20,1996,22,1996,Oh Yeah
FALSE,Regurgitator,Australia,21,1996,23,1996,I Sucked a Lot of Cock to Get Where I Am
FALSE,Everclear,USA,22,1996,24,1996,Santa Monica
FALSE,No Doubt,USA,23,1996,25,1996,Just a Girl
FALSE,Chemical Brothers,UK,24,1996,26,1996,Setting Sun
FALSE,Cake,USA,25,1996,27,1996,The Distance
FALSE,The Smashing Pumpkins,USA,26,1996,28,1996,Zero
FALSE,The Fauves,Australia,27,1996,30,1996,Self Abuser
FALSE,Skin,UK,28,1996,31,1996,Mah Na Mah Na
FALSE,Powderfinger,Australia,29,1996,32,1996,Living Type
FALSE,2Pac,USA,30,1996,33,1996,California Love
FALSE,Tracy Bonham,USA,31,1996,34,1996,Mother Mother
FALSE,Fugees,USA,32,1996,35,1996,Killing Me Softly
FALSE,Primitive Radio Gods,USA,33,1996,36,1996,Standing Outside a Broken Phone Booth with Money in My Hand
FALSE,Jamiroquai,UK,34,1996,37,1996,Virtual Insanity
FALSE,Bush,UK,35,1996,38,1996,Comedown
FALSE,The Eels,USA,36,1996,39,1996,Novocaine for the Soul
FALSE,Tricky/Garbage,UK,37,1996,40,1996,Milk
FALSE,Geggy Tah,USA,38,1996,41,1996,Whoever You Are
FALSE,Fini Scad,Australia,39,1996,42,1996,Coppertone
FALSE,The Cranberries,Ireland,40,1996,44,1996,Salvation
FALSE,Nirvana,USA,41,1996,45,1996,Aneurysm {Muddy Banks of the Wishka live version}
FALSE,Rage Against the Machine,USA,42,1996,46,1996,Bulls on Parade
FALSE,Pearl Jam,USA,43,1996,47,1996,"Hail, Hail"
FALSE,Nada Surf,USA,44,1996,48,1996,Popular
FALSE,Definition of Sound,UK,45,1996,49,1996,Pass the Vibes
FALSE,The Presidents of the USA,USA,46,1996,50,1996,Mach 5
FALSE,Garbage,USA,47,1996,51,1996,Only Happy When It Rains
FALSE,Metallica,USA,48,1996,52,1996,Until It Sleeps
FALSE,Bjork,Iceland,49,1996,53,1996,Hyperballad
FALSE,The Smashing Pumpkins,USA,50,1996,55,1996,"Tonight, Tonight"
FALSE,Everclear,USA,51,1996,58,1996,Heartspark Dollarsign
FALSE,Tumbleweed,Australia,52,1996,59,1996,Silver Lizard
FALSE,Kula Shaker,UK,53,1996,60,1996,Hey Dude
FALSE,Metallica,USA,54,1996,62,1996,Hero of the Day
FALSE,Bad Religion,USA,55,1996,63,1996,Punk Rock Song
FALSE,Angelique Kidjo,Benin,56,1996,64,1996,Wombo Lombo
FALSE,Goldfinger,USA,57,1996,65,1996,Here in Your Bedroom
FALSE,Crowded House,Australia,58,1996,67,1996,Everything Is Good for You
FALSE,Mullen/Clayton,Ireland,59,1996,68,1996,Mission Impossible
FALSE,Insurge,Australia,60,1996,69,1996,Speculator
FALSE,Pulp,UK,61,1996,71,1996,Disco 2000
FALSE,Frenzal Rhomb,Australia,62,1996,72,1996,Punch in the Face
FALSE,Hole,USA,63,1996,73,1996,Gold Dust Woman
FALSE,Ministry,USA,64,1996,74,1996,Lay Lady Lay
FALSE,Spacehog,UK,65,1996,76,1996,In the Meantime
FALSE,Soundgarden,USA,66,1996,77,1996,Burden in My Hand
FALSE,OMC,New Zealand,67,1996,78,1996,How Bizarre
FALSE,The Whitlams,Australia,68,1996,79,1996,I Make Hamburgers
FALSE,You Am I,Australia,69,1996,80,1996,Soldiers
FALSE,The Superjesus,Australia,70,1996,81,1996,Shut My Eyes
FALSE,Luscious Jackson,USA,71,1996,82,1996,Naked Eye
FALSE,Hoodoo Gurus,Australia,72,1996,83,1996,Waking Up Tired
FALSE,Ash,UK,73,1996,85,1996,Goldfinger
FALSE,Neneh Cherry,Sweden,74,1996,86,1996,Woman
FALSE,R.E.M.,USA,75,1996,87,1996,E-Bow the Letter
FALSE,Hunting Party,Australia,76,1996,88,1996,Grooving
FALSE,Snout,Australia,77,1996,89,1996,Cromagnon Man
FALSE,Pearl Jam,USA,78,1996,90,1996,Leaving Here
FALSE,Barry Adamson,UK,79,1996,91,1996,Set the Controls
FALSE,Skunk Anansie,UK,80,1996,93,1996,All I Want
FALSE,Pearl Jam,USA,81,1996,94,1996,Mankind
FALSE,Frank Bennett,Australia,82,1996,95,1996,Creep
FALSE,AC/DC,Australia,83,1996,97,1996,Hail Caesar
FALSE,Tori Amos,USA,84,1996,98,1996,Professional Widow
FALSE,Republica,UK,85,1996,99,1996,Ready to Go
FALSE,Ben Harper,USA,86,1996,100,1996,Gold to Me
TRUE,Nirvana,USA,87,1991,1,1991,Smells Like Teen Spirit
TRUE,Joy Division,UK,88,1991,2,1979,Love Will Tear Us Apart
TRUE,Nirvana,USA,89,1991,3,1991,Lithium
TRUE,Hunters & Collectors,Australia,90,1991,4,1985,Throw Your Arms Around Me
TRUE,Andy Prieboy,USA,91,1991,5,1990,Tomorrow Wendy
TRUE,The Smiths,UK,92,1991,6,1984,How Soon Is Now?
TRUE,The Stone Roses,UK,93,1991,7,1989,Fools Gold
TRUE,The Cure,UK,94,1991,8,1980,A Forest
TRUE,Violent Femmes,USA,95,1991,9,1982,Blister In The Sun
TRUE,New Order,UK,96,1991,10,1983,Blue Monday
TRUE,The Cure,UK,97,1991,11,1987,Just Like Heaven
TRUE,The The,UK,98,1991,13,1983,Uncertain Smile
TRUE,Nick Cave & The Bad Seeds,Australia,99,1991,14,1990,The Ship Song
TRUE,The Cult,UK,100,1991,16,1985,She Sells Sanctuary
TRUE,Violent Femmes,USA,101,1991,18,1982,Add It Up
TRUE,Kate Bush,UK,102,1991,19,1978,Wuthering Heights
TRUE,Falling Joys,Australia,103,1991,20,1990,Lock It
TRUE,Violent Femmes,USA,104,1991,21,1983,Kiss Off
TRUE,Billy Bragg,UK,105,1991,22,1991,Sexuality
TRUE,New Order,UK,106,1991,24,1986,Bizarre Love Triangle
TRUE,Sex Pistols,UK,107,1991,25,1976,Anarchy in the U.K.
TRUE,Dead Kennedys,USA,108,1991,26,1980,Holiday in Cambodia
TRUE,Pixies,USA,109,1991,28,1989,Debaser
TRUE,The Smiths,UK,110,1991,29,1983,This Charming Man
TRUE,Led Zeppelin,UK,111,1991,30,1971,Stairway to Heaven
TRUE,The Church,Australia,112,1991,31,1988,Under the Milky Way
TRUE,R.E.M.,USA,113,1991,32,1991,Losing My Religion
TRUE,Clouds,Australia,114,1991,33,1991,Hieronymus
TRUE,Died Pretty,Australia,115,1991,34,1991,DC
TRUE,The Cure,UK,116,1991,35,1981,Primary
TRUE,The Smiths,UK,117,1991,36,1986,There Is a Light That Never Goes Out
TRUE,The Cure,UK,118,1991,37,1985,Close to Me
TRUE,Boys Next Door,Australia,119,1991,38,1978,Shivers
TRUE,Red Hot Chili Peppers,USA,120,1991,39,1991,Give It Away
TRUE,R.E.M.,USA,121,1991,40,1987,The One I Love
TRUE,The Cure,UK,122,1991,44,1989,Lullaby
TRUE,Hunters & Collectors,Australia,123,1991,45,1982,Talking to a Stranger
TRUE,They Might Be Giants,USA,124,1991,46,1990,Birdhouse in Your Soul
TRUE,Radio Birdman,Australia,125,1991,47,1978,Aloha Steve and Danno
TRUE,The Cure,UK,126,1991,48,1985,In Between Days
TRUE,Queen,UK,127,1991,49,1975,Bohemian Rhapsody
TRUE,This Mortal Coil,UK,128,1991,50,1983,Song to the Siren
TRUE,Tall Tales and True,Australia,129,1991,51,1989,Trust
TRUE,The Triffids,Australia,130,1991,52,1986,Wide Open Road
TRUE,Hunters & Collectors,Australia,131,1991,53,1984,The Slab
TRUE,Soft Cell,UK,132,1991,54,1981,Tainted Love
TRUE,New Order,UK,133,1991,55,1987,True Faith
TRUE,Sonic Youth,USA,134,1991,56,1990,Kool Thing
TRUE,Billy Bragg,UK,135,1991,57,1988,Waiting for the Great Leap Forward
TRUE,Pink Floyd,UK,136,1991,58,1975,Wish You Were Here
TRUE,The Doors,USA,137,1991,59,1967,The End
TRUE,Metallica,USA,138,1991,60,1991,Enter Sandman
TRUE,The Jimi Hendrix Experience,USA,139,1991,61,1968,All Along the Watchtower
TRUE,R.E.M.,USA,140,1991,62,1988,Orange Crush
TRUE,Metallica,USA,141,1991,63,1991,The Unforgiven
TRUE,Massive Attack,UK,142,1991,64,1991,Unfinished Sympathy
TRUE,R.E.M.,USA,143,1991,65,1986,Fall On Me
TRUE,Straitjacket Fits,New Zealand,144,1991,66,1990,Down in Splendour
TRUE,Clouds,Australia,145,1991,67,1991,4 PM
TRUE,The Cure,UK,146,1991,68,1989,Pictures of You
TRUE,Frente!,Australia,147,1991,69,1991,Labour of Love
TRUE,The Church,Australia,148,1991,70,1981,The Unguarded Moment
TRUE,The Smiths,UK,149,1991,72,1986,Bigmouth Strikes Again
TRUE,Pink Floyd,UK,150,1991,73,1979,Comfortably Numb
TRUE,The Cure,UK,151,1991,74,1983,The Lovecats
TRUE,Billy Bragg,UK,152,1991,75,1986,Levi Stubbs Tears
TRUE,Nirvana,USA,153,1991,76,1991,Come As You Are
TRUE,The Doors,USA,154,1991,78,1971,L.A Woman
TRUE,Dinosaur Jr,USA,155,1991,79,1988,Freak Scene
TRUE,Def FX,Australia,156,1991,80,1990,Surfers of the Mind
TRUE,The Stone Roses,UK,157,1991,81,1989,She Bangs The Drums
TRUE,Ride,UK,158,1991,82,1991,Vapour Trail
TRUE,Yothu Yindi,Australia,159,1991,83,1991,Treaty
